Series_reference,Period,Data_value,name,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4
BDCQ.SF2DDCA,2021.09,4046.695,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2021.12,3090.461,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2022.03,3876.671,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2022.06,4563.766,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2022.09,3488.021,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2022.12,3207.461,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2023.03,3854.058,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2023.06,3619.716,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2023.09,4304.837,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
BDCQ.SF2DDCA,2023.12,4207.164,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Purchases and operating expenditure,"Electricity, Gas, Water and Waste Services",Current,Unadjusted
